16
0	0	0	0	0	0	0	0	5	0	9	0	0	0	0	13
0	0	0	6	0	0	0	0	0	13	0	14	0	15	0	0
0	0	0	11	5	15	0	0	0	0	16	2	7	9	0	0
0	0	0	15	13	9	1	0	0	0	0	7	0	14	5	11
0	0	0	0	0	0	0	5	8	0	1	0	0	0	0	0
15	0	0	9	0	16	0	0	0	2	14	0	0	0	0	10
0	8	0	0	0	0	0	2	3	0	0	0	13	4	0	16
0	0	10	16	0	8	0	0	13	4	15	0	0	1	3	0
0	4	16	7	0	0	0	0	0	0	0	0	0	3	0	8
0	0	6	0	0	0	0	9	14	0	0	0	12	0	0	0
3	0	9	0	0	0	10	11	0	0	8	13	0	0	16	0
0	10	0	0	1	13	0	0	11	7	0	5	0	0	9	0
14	5	7	0	4	0	0	0	12	0	0	1	0	0	0	3
0	0	0	1	6	0	0	0	0	0	0	0	0	11	0	0
9	0	0	8	0	11	13	10	0	5	0	0	0	0	12	1
0	0	11	2	12	7	16	0	15	0	6	0	4	0	0	0
